""	"OTU1"	"OTU2"	"OTU3"	"OTU4"	"OTU5"	"OTU6"	"OTU7"	"OTU8"	"OTU9"	"OTU10"	"OTU11"	"OTU12"	"OTU13"	"OTU14"	"OTU15"	"OTU16"	"OTU17"	"OTU18"	"OTU19"	"OTU20"	"OTU21"	"OTU22"	"OTU23"	"OTU24"	"OTU25"	"OTU26"	"OTU27"	"OTU28"	"OTU29"	"OTU30"	"OTU31"	"OTU32"	"OTU33"	"OTU34"	"OTU35"	"OTU36"	"OTU37"	"OTU38"	"OTU39"	"OTU40"	"OTU41"	"OTU42"	"OTU43"	"OTU44"	"OTU45"	"OTU46"	"OTU47"	"OTU48"	"OTU49"	"OTU50"	"OTU51"	"OTU52"	"OTU53"	"OTU54"	"OTU55"	"OTU56"	"OTU57"	"OTU58"	"OTU59"	"OTU60"	"OTU61"	"OTU62"	"OTU63"	"OTU64"	"OTU65"	"OTU66"	"OTU67"	"OTU68"	"OTU69"	"OTU70"	"OTU71"	"OTU72"	"OTU73"	"OTU74"	"OTU75"	"OTU76"	"OTU77"	"OTU78"	"OTU79"	"OTU80"	"OTU81"	"OTU82"	"OTU83"	"OTU84"	"OTU85"	"OTU86"	"OTU87"	"OTU88"	"OTU89"	"OTU90"	"OTU91"	"OTU92"	"OTU93"	"OTU94"	"OTU95"	"OTU96"	"OTU97"	"OTU98"	"OTU99"	"OTU100"	"OTU101"	"OTU102"	"OTU103"	"OTU104"	"OTU105"	"OTU106"	"OTU107"	"OTU108"	"OTU109"	"OTU110"	"OTU111"	"OTU112"	"OTU113"	"OTU114"	"OTU115"	"OTU116"	"OTU117"	"OTU118"	"OTU119"	"OTU120"	"OTU121"	"OTU122"	"OTU123"	"OTU124"	"OTU125"	"OTU126"	"OTU127"	"OTU128"
"130"	130	112	13	0	52	97	280	44	0	0	24	0	0	39	21	138	0	0	0	458	0	0	0	0	84	5	0	195	0	1	12	0	0	0	98	0	67	0	0	28	0	125	54	0	14	56	7	0	16	123	99	0	56	22	662	0	16	0	15	273	17	0	60	51	0	0	0	164	0	159	7	12	126	124	0	302	0	47	15	0	12	0	0	0	904	17	0	68	41	25	1753	28	23	45	12	490	5	11	5	0	0	0	289	133	4	38	0	0	0	0	26	0	386	0	13	101	0	124	285	11	14	12	0	81	0	187	7	0
"131"	131	205	50	0	0	82	0	28	70	0	1	1	0	0	34	153	1	0	29	382	14	183	83	1	0	11	0	285	0	0	24	5	48	0	0	16	41	0	16	13	0	0	86	104	11	147	8	40	6	173	0	1	56	0	53	35	26	12	0	294	26	90	0	0	149	532	84	109	1	21	21	19	47	80	15	333	0	17	20	76	19	33	0	138	921	55	8	48	32	9	3299	0	5	39	48	491	0	0	14	0	0	0	424	0	0	0	33	0	0	0	53	82	440	150	44	91	0	125	0	0	0	48	82	95	0	236	1	0
"132"	132	84	21	115	54	61	241	56	10	137	20	2	0	22	0	162	0	19	16	528	7	133	0	0	105	25	68	243	0	19	27	14	36	82	0	26	57	1	0	26	110	157	0	0	11	73	8	0	38	119	96	6	17	30	263	47	51	9	16	324	23	78	53	50	0	516	87	190	8	42	0	0	0	0	34	348	10	43	30	19	0	0	0	128	886	0	0	25	0	0	9265	0	14	15	84	514	12	31	0	4	33	0	0	140	2	87	48	19	0	55	0	123	392	234	3	116	16	61	0	100	20	50	47	128	0	282	15	6
"133"	133	135	30	0	30	105	0	49	37	117	7	3	0	12	0	143	0	0	0	331	29	194	34	5	110	0	0	0	30	12	22	0	24	97	0	0	68	9	17	0	0	0	0	59	0	49	14	16	17	239	0	5	55	26	2809	28	34	9	10	298	52	90	46	38	151	496	129	112	9	0	18	12	0	98	24	286	18	40	0	16	14	0	0	110	722	0	0	65	62	0	2516	39	8	25	0	481	1	0	58	2	0	329	0	148	26	48	0	0	0	53	26	0	386	98	9	106	9	119	265	0	2	0	0	135	5	284	0	9
"134"	134	199	48	0	44	97	166	36	32	142	0	4	0	16	21	0	3	0	54	400	0	246	0	3	0	6	0	235	0	0	32	0	46	92	0	26	92	24	13	15	173	120	39	73	0	37	8	0	25	138	0	3	0	0	493	63	13	5	0	317	19	47	41	0	167	481	81	201	0	41	0	11	143	85	11	337	8	27	0	14	0	0	24	172	779	32	0	50	0	0	4762	29	31	53	43	501	0	0	18	0	29	0	286	91	0	44	94	0	0	0	0	83	399	0	15	174	18	52	258	0	0	26	46	72	0	215	0	0
"135"	135	105	27	190	39	82	117	35	0	159	27	19	384	8	29	192	0	51	0	0	18	0	71	1	130	0	0	209	60	1	65	8	39	65	0	27	50	4	47	13	104	169	16	78	0	45	7	15	14	0	68	0	0	0	1376	0	0	0	0	304	0	117	59	32	0	517	116	0	0	37	2	15	0	0	0	325	14	0	0	0	30	33	0	90	847	0	27	46	0	0	3123	29	16	78	85	474	8	2	0	34	0	267	262	150	0	42	31	50	0	63	0	0	445	87	0	70	12	51	204	10	19	21	0	72	0	230	1	0
"136"	136	0	24	126	36	86	217	28	0	161	1	2	0	0	0	125	26	0	18	445	12	179	53	2	63	1	0	165	0	0	48	3	0	81	98	8	25	0	12	0	125	112	0	96	0	0	11	0	0	0	0	0	45	0	318	23	21	0	5	307	0	136	44	31	209	0	166	137	18	27	7	10	45	0	11	334	0	42	0	17	39	35	4	0	858	10	9	61	130	1	10126	0	0	8	51	530	0	27	0	0	0	0	0	179	21	51	0	48	22	15	0	94	351	0	0	149	13	0	0	0	17	0	57	127	17	231	0	0
"137"	137	0	21	205	0	71	173	38	0	167	12	9	0	18	0	176	2	0	0	403	0	0	76	1	95	40	0	230	0	1	39	3	48	0	0	13	0	20	0	0	131	186	43	0	10	60	24	10	22	179	63	2	0	20	325	29	13	10	0	289	0	40	70	0	107	473	0	188	10	22	17	15	0	61	4	413	9	32	3	25	24	0	20	89	744	0	0	0	75	0	4509	43	36	38	72	510	8	0	27	30	17	178	254	168	1	64	34	59	0	0	14	98	331	0	27	0	15	101	346	3	17	15	57	0	0	182	7	3
"138"	138	150	46	167	0	87	0	29	80	155	0	0	30	0	0	149	0	25	8	520	13	0	73	0	88	28	3	239	0	0	49	0	41	204	0	14	101	0	0	12	199	157	0	58	9	0	0	0	0	127	0	4	32	16	554	0	0	0	0	303	0	0	42	9	123	473	104	146	4	0	0	23	80	84	21	328	0	38	46	19	27	0	0	128	929	33	0	45	36	11	692	37	3	0	0	477	2	6	37	8	0	247	0	162	0	22	0	32	103	0	45	0	365	98	5	112	9	145	273	107	0	11	0	66	44	224	4	0
"139"	139	144	0	75	0	82	115	31	29	148	9	0	0	5	18	141	1	47	34	310	7	140	45	0	0	20	0	246	0	13	57	0	0	0	0	0	64	14	28	0	158	164	71	0	0	55	14	0	13	0	90	1	32	13	502	43	19	12	10	271	24	0	0	46	0	490	0	172	0	0	0	0	0	123	0	320	31	50	51	39	21	11	1	189	0	0	10	60	0	4	7838	0	41	23	0	655	0	0	3	27	22	0	328	115	24	89	0	56	137	67	0	76	399	67	3	146	0	84	0	15	0	0	0	70	23	236	0	19
"140"	140	146	24	0	41	78	94	16	140	153	0	0	1	37	21	96	1	10	11	241	0	0	48	0	74	2	38	192	0	1	68	4	47	0	91	28	30	12	0	10	120	134	44	68	0	72	6	0	15	0	58	4	33	0	10	57	28	0	0	309	66	32	40	26	180	600	125	167	35	44	0	6	108	75	0	372	13	46	0	49	0	38	0	58	684	0	0	86	156	17	2692	26	63	0	0	487	0	0	0	0	0	0	240	183	16	45	41	50	26	0	43	59	437	282	0	0	0	52	187	0	1	0	59	61	12	234	0	0
"141"	141	0	17	0	44	69	245	43	25	0	0	13	0	9	0	124	3	17	0	478	8	0	47	2	76	0	0	198	0	14	46	0	20	148	184	0	0	10	9	15	0	140	40	0	13	53	0	7	0	0	34	0	74	34	1053	25	81	18	0	307	40	0	41	0	0	496	0	214	0	36	0	31	182	123	0	260	18	14	0	0	8	10	0	83	675	0	0	0	0	0	2801	48	14	43	31	550	9	9	0	0	8	0	0	151	0	60	39	0	43	77	23	61	426	0	29	0	23	51	0	1	9	39	58	56	0	253	0	14
"142"	142	218	37	0	46	93	0	12	0	118	0	3	138	42	0	111	0	47	28	213	29	214	48	3	0	60	0	254	0	0	56	0	75	141	0	17	83	4	0	23	113	0	86	58	7	0	13	12	0	150	0	4	36	0	2226	90	26	0	0	223	39	0	58	36	0	533	132	110	0	76	0	4	0	95	0	320	0	26	0	0	23	0	0	68	733	25	21	60	57	17	6889	41	52	48	100	467	46	17	92	0	47	0	0	143	5	33	0	71	4	76	16	71	434	0	59	0	0	136	0	9	0	0	36	84	18	238	0	11
"143"	143	0	0	0	0	94	244	30	0	202	0	9	99	7	18	144	1	40	0	636	0	242	87	6	0	0	16	269	0	10	26	12	0	0	52	0	44	0	3	7	156	199	0	61	9	35	0	18	16	0	84	7	61	41	277	0	42	0	0	330	0	76	57	33	167	443	101	180	1	0	1	29	0	197	8	309	0	37	39	0	0	13	3	81	0	56	0	56	67	14	962	34	23	42	0	543	0	21	0	0	0	0	0	141	6	21	38	0	0	47	0	0	402	0	9	0	0	65	0	2	6	34	23	0	0	296	10	0
"144"	144	144	21	211	69	99	0	31	44	143	0	0	0	45	18	144	0	18	0	376	0	0	34	0	82	0	28	164	51	2	37	5	55	0	0	0	65	0	10	9	0	217	52	102	15	0	0	2	34	0	64	7	64	52	340	0	0	36	11	324	0	32	70	0	0	549	98	222	11	29	0	0	0	172	9	332	0	0	0	18	18	0	0	91	0	48	0	87	0	0	1887	0	16	53	0	513	0	0	0	15	0	0	446	130	0	60	70	36	0	0	0	109	415	0	6	86	12	86	312	0	0	38	0	66	15	181	14	0
"145"	145	166	19	92	54	106	252	45	0	193	7	3	13	0	20	149	1	19	33	442	0	0	31	0	88	12	46	252	32	0	59	0	19	0	0	0	0	0	33	0	0	106	28	95	12	0	0	0	0	118	63	8	27	33	285	53	0	3	11	0	0	84	75	29	154	413	109	162	0	60	0	23	37	124	32	351	21	40	49	0	0	0	1	136	884	15	0	0	0	0	4416	0	34	37	0	461	15	0	31	0	37	0	0	123	0	82	34	0	44	0	28	91	367	0	15	0	14	25	0	108	0	14	72	111	0	217	1	0
"146"	146	123	26	202	23	78	262	30	0	161	0	2	6	12	3	178	1	33	9	405	26	0	83	7	92	15	0	154	0	26	84	5	36	0	64	11	33	7	30	0	0	99	74	95	11	56	11	0	18	152	0	6	0	33	1665	35	20	0	0	244	28	63	56	0	0	470	0	111	1	26	0	0	122	130	13	368	12	0	17	0	20	36	7	125	0	44	15	76	46	20	4505	16	12	30	0	508	3	1	16	0	29	0	240	117	27	19	0	70	29	93	0	58	385	0	9	0	0	171	220	0	17	21	49	197	0	288	0	0
"147"	147	119	0	101	0	85	316	39	0	0	51	4	0	0	0	166	2	26	0	529	0	0	45	2	82	25	33	229	38	21	0	2	17	104	57	14	54	8	12	33	0	114	65	48	9	0	0	9	12	130	88	0	22	0	946	0	16	0	28	273	57	39	57	85	127	550	95	199	0	0	0	18	46	0	0	381	19	21	0	0	0	0	0	0	794	0	0	58	0	4	4667	0	39	31	0	476	0	0	0	0	0	0	266	166	20	63	34	63	79	20	0	0	415	0	19	0	0	95	0	0	15	17	40	117	0	237	5	0
"148"	148	174	42	0	41	103	0	0	159	153	30	0	0	17	14	113	4	0	0	410	21	79	37	0	55	27	0	247	68	0	66	2	45	0	67	0	51	9	0	8	155	101	57	58	20	35	14	17	26	182	0	1	69	0	1826	44	33	0	0	270	0	0	47	43	184	638	99	0	2	47	36	27	0	122	3	413	23	35	27	0	0	71	86	137	770	0	0	73	186	16	507	39	52	46	0	552	8	0	0	0	0	0	266	143	1	23	39	0	52	0	47	0	434	187	20	0	0	66	212	0	22	42	62	159	11	0	0	4
"149"	149	0	21	204	0	72	0	39	27	166	33	7	2	10	0	158	0	44	0	474	0	228	93	0	142	0	0	0	75	8	55	15	28	0	104	17	33	9	6	18	180	88	59	61	6	56	0	9	31	0	63	8	0	19	370	0	52	0	19	289	37	77	45	32	160	452	129	158	0	2	0	32	0	110	23	311	15	23	51	34	0	0	0	91	708	25	9	63	0	31	3354	0	58	0	27	529	22	0	56	0	0	0	0	145	8	49	0	0	0	0	27	95	362	125	21	0	0	76	335	0	5	35	34	61	10	233	7	2
"150"	150	136	9	126	33	89	0	42	0	126	27	7	0	0	42	0	1	39	5	288	52	153	0	0	43	0	0	197	50	33	23	0	0	141	0	0	0	10	23	10	112	142	40	45	16	47	0	11	0	151	0	4	0	24	644	24	54	16	0	263	22	49	51	45	145	410	89	203	0	22	0	19	0	97	0	339	10	47	0	0	0	0	0	109	667	0	0	40	0	0	95	15	31	11	54	498	11	0	0	0	0	188	324	208	18	15	16	81	29	20	0	124	404	106	4	115	14	125	217	269	6	0	36	102	0	250	23	11
"151"	151	131	27	216	26	88	204	20	183	172	21	0	0	0	0	96	0	0	0	351	15	0	34	9	76	0	5	143	71	0	72	2	0	0	74	0	0	0	0	6	169	107	57	0	8	48	9	0	15	0	71	4	15	30	105	97	20	0	0	255	40	60	59	18	170	464	0	0	0	38	0	0	0	111	9	327	10	54	0	0	0	29	0	100	831	48	8	65	21	1	3924	0	30	40	162	498	2	0	21	0	30	0	0	143	0	80	50	34	10	78	29	117	443	170	0	0	0	264	227	0	0	13	0	103	0	215	26	3
"152"	152	156	47	94	75	90	0	22	0	140	37	5	55	37	0	146	0	28	35	425	0	0	36	21	76	0	5	205	26	6	70	0	39	0	61	0	0	14	0	18	126	162	0	0	9	0	15	32	0	106	0	0	36	14	1448	0	47	7	3	262	19	0	0	81	164	407	92	157	15	45	0	0	0	0	20	316	13	20	62	26	0	20	0	0	840	27	1	39	137	0	6769	0	7	37	0	538	0	7	0	2	4	405	314	107	4	0	57	77	0	0	0	85	385	0	21	0	20	69	276	0	0	25	65	122	27	227	6	6
"153"	153	130	38	0	41	87	0	57	88	124	49	0	0	0	22	121	4	0	0	0	0	0	59	19	108	0	26	181	0	0	37	0	87	108	82	0	0	0	27	12	90	94	28	55	11	34	17	0	41	0	52	0	67	21	325	53	0	0	7	270	56	32	47	31	191	457	72	170	0	0	9	36	0	78	9	284	18	0	0	14	0	0	0	59	836	0	16	55	119	1	6792	0	26	48	0	580	21	26	22	0	20	0	0	141	0	31	29	71	0	136	43	69	397	0	19	0	14	145	268	5	0	34	33	75	0	229	6	2
"154"	154	0	0	270	32	0	159	0	0	0	26	15	303	13	25	107	0	0	23	325	13	0	70	1	107	1	25	260	38	27	43	43	26	120	0	17	57	0	15	20	118	89	39	77	16	0	0	0	20	93	52	0	67	32	880	42	64	24	14	347	0	0	55	40	0	430	122	180	6	32	0	15	45	0	10	280	16	30	14	0	21	0	15	159	894	0	0	36	0	14	5305	0	7	59	48	542	3	33	0	0	0	0	274	98	16	58	23	0	0	0	20	47	444	0	3	0	13	111	0	0	0	31	0	118	0	265	21	4
"155"	155	258	77	0	77	79	0	27	158	141	0	0	0	8	26	125	34	14	53	374	20	181	0	19	68	24	0	265	0	16	49	1	38	0	0	0	77	24	0	15	0	147	85	110	0	32	10	32	34	155	0	4	0	0	304	0	59	8	0	0	0	0	46	22	160	480	87	232	0	26	1	35	0	121	8	378	8	56	11	0	5	0	4	0	922	22	34	60	173	16	1627	0	24	0	0	580	0	52	15	0	46	0	282	187	0	38	0	27	28	0	13	60	386	258	27	0	17	0	0	7	7	0	0	109	28	248	0	0
"156"	156	159	29	0	32	77	112	25	31	0	0	11	0	0	12	0	0	0	0	408	0	191	52	1	0	2	29	0	34	3	0	0	28	148	0	0	48	20	23	18	109	74	52	0	22	35	0	4	16	218	53	0	68	25	358	23	0	16	16	261	0	123	0	47	0	493	96	195	28	52	3	8	25	88	11	330	10	38	52	0	0	20	8	0	0	0	32	37	0	6	12335	37	0	17	30	544	0	7	36	0	0	270	0	163	1	41	35	47	27	59	10	0	398	0	5	93	11	139	194	0	5	51	52	82	30	0	6	0
"157"	157	199	28	0	50	98	126	15	124	151	28	1	0	0	6	93	1	0	0	0	52	154	75	2	135	85	0	195	50	14	56	0	0	65	0	19	0	0	16	0	0	120	55	0	14	77	7	0	10	0	72	4	0	0	1292	0	23	0	6	282	17	55	49	0	142	671	117	193	0	48	0	15	66	130	0	413	18	45	32	15	43	63	0	106	785	28	0	56	0	14	5230	0	17	45	0	581	0	2	31	0	0	283	0	121	22	0	0	33	0	42	6	100	414	0	14	103	0	100	196	0	0	25	52	104	7	252	24	4
"158"	158	207	27	0	64	82	318	21	45	0	35	2	0	0	14	191	1	35	35	732	0	0	15	0	104	98	13	228	62	1	0	6	0	128	0	0	0	17	4	11	110	154	67	78	0	23	20	0	18	0	0	0	41	7	243	32	32	12	17	280	0	0	49	0	167	0	0	207	5	43	5	39	79	146	0	369	0	29	0	0	0	0	1	100	698	26	29	70	39	0	5787	40	24	0	0	508	18	0	10	24	0	0	0	0	0	0	0	42	89	123	50	84	378	0	32	63	14	0	207	0	18	14	0	0	11	262	3	15
"159"	159	145	35	0	56	94	145	40	20	131	2	0	4	40	15	152	11	0	11	430	13	242	52	6	84	23	0	230	41	0	36	14	35	156	45	33	36	21	34	33	0	0	52	87	9	123	8	9	40	149	45	2	75	38	146	27	14	19	6	304	37	50	67	57	0	498	107	157	5	59	16	25	0	195	21	301	16	45	28	44	19	34	21	82	765	0	6	46	40	0	947	74	43	48	0	584	0	9	39	0	3	0	0	156	2	15	0	88	34	38	33	68	335	0	0	0	21	82	294	0	0	25	0	67	3	246	0	24
"160"	160	216	39	0	51	112	0	34	37	138	0	0	0	6	0	126	1	43	23	0	10	121	47	8	125	0	0	324	0	0	67	10	50	172	0	0	0	6	0	0	144	128	76	129	0	61	13	8	43	0	83	0	39	0	2421	0	79	0	17	290	0	121	40	0	142	538	122	181	5	0	28	16	54	0	14	365	14	0	29	17	0	41	0	94	708	25	11	92	57	0	6920	61	1	74	53	504	8	0	113	0	70	205	346	165	25	73	0	0	0	0	0	68	431	92	34	0	13	97	276	10	8	0	55	93	0	239	2	6
"161"	161	193	39	0	45	76	161	50	0	185	5	3	11	0	0	147	2	0	55	366	0	0	68	10	0	68	44	197	0	2	30	2	23	245	0	0	54	0	30	13	0	98	47	0	19	0	0	0	28	135	74	0	0	22	267	82	11	7	0	309	0	41	57	0	151	568	157	185	15	19	0	24	65	0	16	355	7	46	30	0	0	0	0	83	729	18	0	79	0	13	9241	11	10	51	68	536	11	4	0	0	26	0	385	131	1	83	0	50	14	0	25	41	380	135	17	0	16	83	286	3	5	3	47	99	0	241	11	0
"162"	162	129	26	0	34	70	206	77	49	134	25	0	0	12	0	124	14	0	0	397	10	127	58	4	82	22	0	288	37	0	18	0	43	0	70	0	17	0	31	29	134	171	0	78	9	36	0	5	15	0	60	6	96	0	186	57	24	26	7	281	0	68	0	0	205	618	0	154	0	59	0	7	0	86	20	325	18	39	22	15	0	0	0	130	833	13	40	0	136	12	2929	0	5	50	0	569	15	2	0	38	0	0	0	135	0	47	40	0	0	33	26	0	371	90	0	0	15	99	0	1	11	0	0	125	0	272	0	5
"163"	163	0	0	270	0	0	402	40	41	125	10	0	0	0	10	149	0	42	0	501	11	0	0	0	0	0	27	200	42	35	41	7	24	157	54	0	0	0	31	0	0	0	0	0	0	0	0	0	17	107	93	5	0	14	649	47	0	0	4	305	52	0	59	55	0	751	111	221	0	54	13	19	58	0	6	326	18	48	0	0	6	0	8	75	720	0	0	21	0	7	4978	0	12	39	49	501	10	32	0	9	0	0	384	137	10	51	0	61	0	87	23	0	457	182	0	91	13	53	283	0	0	50	31	0	0	237	5	6
"164"	164	206	45	0	65	121	262	48	0	200	6	4	0	0	8	176	48	52	58	464	15	228	52	0	85	8	0	198	0	0	0	4	30	0	0	13	0	27	0	22	160	126	63	0	10	0	6	0	24	133	0	0	0	13	463	27	49	7	15	287	0	32	67	49	0	623	98	212	0	24	0	20	31	144	0	368	0	27	0	18	0	49	0	128	826	0	0	30	77	11	4189	14	25	54	0	515	3	8	0	0	20	0	290	124	16	21	41	0	0	120	18	0	380	201	0	68	10	0	284	0	14	0	60	113	23	331	1	0
"165"	165	0	13	108	45	0	145	40	0	0	2	0	0	0	0	171	0	17	20	314	0	0	0	4	0	6	0	364	55	0	39	14	22	0	83	0	0	0	0	14	0	102	0	0	13	35	12	0	8	132	112	4	75	7	2061	89	3	0	0	268	0	0	50	0	132	558	142	144	0	52	0	22	102	221	7	203	0	0	48	21	29	39	0	56	876	0	0	34	0	9	5915	0	9	31	70	442	0	10	0	0	0	298	0	143	22	64	0	64	0	47	18	56	373	72	2	0	0	147	0	0	0	25	0	102	0	233	4	1
"166"	166	0	0	173	0	78	134	97	0	0	10	4	37	55	6	193	0	0	0	404	0	159	0	5	53	0	0	208	43	6	61	1	0	120	137	14	0	0	14	0	117	134	0	0	13	60	0	0	58	122	100	4	0	19	366	0	35	13	0	370	0	0	49	0	148	451	0	209	0	74	15	0	65	93	16	270	22	45	0	0	37	43	0	0	783	31	11	46	0	14	156	0	0	0	0	529	23	13	7	0	27	0	0	93	0	36	0	54	3	0	9	0	324	0	0	155	0	125	216	0	21	0	64	103	26	0	25	5
"167"	167	77	19	76	0	85	228	64	12	105	10	4	0	12	15	153	0	30	0	464	0	0	0	0	69	0	0	157	25	22	17	21	10	0	88	16	36	0	0	12	0	136	30	0	0	0	10	0	39	0	0	3	30	0	221	28	44	0	3	287	0	0	33	0	143	549	97	214	3	46	9	6	0	0	17	316	0	25	9	18	23	0	0	48	875	0	0	66	69	0	1105	47	3	0	29	526	0	13	0	0	0	317	275	137	0	30	0	48	38	25	0	117	443	111	25	132	15	217	283	0	0	13	37	87	8	217	2	2
"168"	168	185	32	0	37	83	0	14	7	183	9	0	16	26	20	130	19	0	0	0	0	104	43	11	79	5	0	171	2	0	24	4	16	0	83	0	98	13	0	22	164	87	73	60	17	28	13	0	0	0	0	8	60	17	187	0	20	24	0	288	0	75	42	0	198	615	143	209	8	0	15	0	34	200	22	353	13	35	0	0	39	0	42	83	750	0	23	78	0	11	3070	0	21	54	37	527	0	0	24	0	32	355	322	121	36	57	52	0	0	0	9	0	336	0	0	0	18	0	288	47	25	0	48	96	39	307	0	0
"169"	169	121	22	111	29	85	136	44	0	154	28	0	0	14	8	135	1	5	11	436	0	149	0	2	96	11	21	182	0	0	0	0	33	111	0	11	0	0	0	22	0	110	28	56	0	35	0	3	18	0	0	0	34	24	1840	34	20	0	0	249	0	83	33	0	116	0	0	219	3	0	37	0	58	0	23	308	0	54	12	36	0	0	60	179	911	0	22	60	0	8	5594	27	7	43	10	516	0	0	42	5	0	0	0	130	16	0	0	0	0	0	14	58	389	110	0	107	0	0	0	0	0	7	35	101	0	300	15	8
"170"	170	174	38	0	0	81	0	31	59	128	16	7	6	0	0	118	1	0	10	0	21	0	0	0	0	15	0	170	39	0	41	2	47	223	0	0	0	11	15	7	0	123	55	74	0	37	9	12	8	153	66	3	0	31	290	0	53	18	0	263	0	44	39	0	139	0	114	194	15	11	0	0	0	144	0	313	17	0	12	0	0	32	0	78	0	26	12	25	130	7	4325	0	8	48	74	477	0	0	19	30	13	0	0	153	5	20	0	0	0	34	0	0	321	191	0	116	11	63	284	65	0	37	0	71	0	243	0	0
"171"	171	0	0	205	17	86	134	37	24	0	17	0	18	0	20	0	1	22	3	458	4	121	0	0	78	4	6	215	62	0	38	0	0	122	71	0	0	4	0	8	0	117	0	0	0	0	0	6	28	0	95	3	108	20	2798	0	36	10	17	305	26	84	69	0	212	577	0	193	2	46	0	9	0	142	15	329	17	37	7	15	24	0	0	78	847	15	6	52	0	3	3147	0	0	63	0	551	3	0	0	0	19	0	300	104	1	14	0	73	0	12	0	122	469	160	15	151	0	92	0	0	22	0	65	87	37	257	0	6
"172"	172	0	12	0	0	73	144	55	11	121	18	15	0	0	0	136	15	39	15	420	17	0	0	0	68	2	0	173	0	33	72	0	0	0	122	0	0	10	61	0	110	137	35	0	10	80	0	0	26	138	55	0	0	5	144	0	57	4	7	401	0	58	50	28	179	655	102	201	0	33	2	0	0	137	2	296	11	42	0	16	18	35	3	222	919	17	27	57	49	24	4702	17	13	34	109	496	0	22	0	0	9	0	314	190	0	0	0	102	0	0	11	89	390	0	17	65	15	78	150	0	0	12	28	84	8	333	0	0
"173"	173	147	28	0	47	77	0	28	13	0	0	2	0	19	17	133	0	12	0	492	18	271	34	8	104	2	0	178	0	0	0	2	38	0	62	10	34	8	24	9	97	160	26	97	13	32	0	0	5	136	57	1	103	0	1237	37	69	13	0	315	0	72	45	26	0	580	0	153	0	49	15	8	78	152	0	245	0	38	41	26	0	0	0	149	704	0	0	79	0	0	10839	0	9	0	96	554	9	14	54	5	0	0	0	146	0	60	97	53	44	52	0	87	394	0	0	0	0	40	0	130	13	30	0	71	15	0	0	14
"174"	174	0	13	233	28	64	159	92	0	0	14	6	0	0	0	0	0	0	0	462	4	0	83	0	108	0	6	202	48	3	66	9	47	185	115	0	64	0	0	5	0	154	0	68	6	0	7	0	24	0	0	4	127	0	2037	57	36	0	28	314	12	0	41	43	124	500	122	125	28	35	5	14	38	0	0	320	0	29	43	10	8	63	0	118	703	42	0	57	70	0	746	0	13	29	59	506	8	0	56	0	23	0	290	106	0	16	18	59	0	87	0	0	357	136	41	0	13	108	0	22	0	23	0	0	0	246	35	6
"175"	175	115	29	166	49	0	205	46	104	0	0	0	0	0	0	0	19	14	0	470	0	123	55	0	53	0	0	171	41	41	0	12	44	0	141	0	0	0	29	10	0	153	0	43	8	73	12	14	6	0	44	1	0	31	1163	0	57	25	0	275	0	0	53	31	0	459	125	194	4	85	5	11	0	98	0	287	21	27	0	40	13	0	8	0	733	21	0	87	28	0	2090	13	0	87	176	470	22	18	19	0	0	0	340	158	5	45	0	0	3	94	21	0	421	171	0	65	0	0	0	1	2	25	65	74	20	267	7	6
"176"	176	108	20	249	58	84	192	52	36	0	0	3	0	3	18	135	0	27	21	0	0	0	37	9	0	10	0	199	70	7	0	0	39	0	60	32	85	0	73	0	0	176	42	56	11	0	14	0	54	135	105	0	90	0	380	45	36	26	0	326	0	103	44	0	208	616	88	222	7	36	5	21	24	194	0	336	17	31	40	0	0	25	4	0	877	0	6	41	0	14	318	0	13	34	57	505	0	0	0	0	12	262	271	140	36	47	0	26	30	0	31	106	356	0	0	154	12	231	0	0	0	11	60	0	0	0	4	0
"177"	177	199	49	0	32	93	0	23	128	0	5	0	4	5	0	178	22	51	21	450	0	210	87	0	91	42	0	0	0	0	33	2	11	0	0	4	41	0	11	0	0	138	59	124	0	61	0	1	27	0	0	0	0	33	206	26	17	13	1	252	0	19	49	32	168	614	84	179	0	36	0	10	46	135	12	400	0	47	11	0	0	23	0	0	676	0	44	56	163	0	1586	19	2	50	23	487	0	23	23	4	0	0	294	0	0	56	63	63	0	0	48	67	395	158	9	0	24	139	241	0	0	0	73	102	0	0	4	4
"178"	178	184	21	0	29	97	214	43	21	159	0	0	0	30	22	181	50	54	33	442	9	197	67	7	0	26	0	306	49	20	55	0	0	0	0	11	82	13	17	14	135	0	40	0	0	0	6	15	14	137	0	2	52	14	134	31	88	0	4	299	52	0	58	50	188	482	63	155	6	0	0	10	0	73	9	353	0	34	36	40	0	59	27	71	780	32	20	36	78	0	6191	41	6	40	0	497	25	3	0	7	0	323	252	132	0	25	79	101	44	95	15	64	409	137	0	187	9	150	324	1	0	17	58	99	0	285	3	0
"179"	179	169	40	0	0	101	0	23	52	149	14	5	0	6	16	146	33	0	32	377	0	189	53	5	49	35	0	248	0	0	66	0	64	0	0	0	32	15	17	13	0	117	0	86	15	48	4	19	10	0	69	5	0	0	305	36	12	11	7	315	37	0	61	45	136	641	83	0	14	0	9	22	0	156	21	324	0	55	0	0	0	44	9	0	0	13	23	46	0	22	1582	39	28	68	45	480	18	5	60	0	0	295	361	131	8	23	46	0	0	0	0	0	399	117	7	0	15	0	0	2	0	33	8	89	0	291	10	19
